Наименование соты;node_id
Вселенная Гарри Поттера;L1
Персонажи;L2-1
Ученики;L3-1-01
Гарри Поттер;L4-1-01-01
Гермиона Грейнджер;L4-1-01-02
Рон Уизли;L4-1-01-03
Драко Малфой;L4-1-01-04
Невилл Долгопупс;L4-1-01-05
Джинни Уизли;L4-1-01-06
Полумна Лавгуд;L4-1-01-07
Седрик Диггори;L4-1-01-08
Чжоу Чанг;L4-1-01-09
Пэнси Паркинсон;L4-1-01-10
Грегори Гойл;L4-1-01-11
Винсент Крэбб;L4-1-01-12
Эрни Макмиллан;L4-1-01-13
Ханна Аббот;L4-1-01-14
Сьюзен Боунс;L4-1-01-15
Дин Томас;L4-1-01-16
Симон Финниган;L4-1-01-17
Лаванда Браун;L4-1-01-18
Парвати Патил;L4-1-01-19
Падма Патил;L4-1-01-20
Майкл Корнер;L4-1-01-21
Теренс Хиггс;L4-1-01-22
Кэти Белл;L4-1-01-23
Ли Джордан;L4-1-01-24
Анджелина Джонсон;L4-1-01-25
Оливер Вуд;L4-1-01-26
Фред Уизли;L4-1-01-27
Джордж Уизли;L4-1-01-28
Астория Гринграсс;L4-1-01-29
Преподаватели;L3-1-02
Альбус Дамблдор;L4-1-02-01
Северус Снегг;L4-1-02-02
Минерва Макгонагалл;L4-1-02-03
Рубеус Хагрид;L4-1-02-04
Филиус Флитвик;L4-1-02-05
Помона Стебль;L4-1-02-06
Сивилла Трелони;L4-1-02-07
Гораций Слизнорт;L4-1-02-08
Олимпия Максим;L4-1-02-09
Квиринус Квиррелл;L4-1-02-10
Армандо Диппет;L4-1-02-11
Роланда Трюк;L4-1-02-12
Септима Вектор;L4-1-02-13
Поппи Помфри;L4-1-02-14
Аргус Филч;L4-1-02-15
Ирма Пинс;L4-1-02-16
Мадам Хуч;L4-1-02-17
Тёмные маги;L3-1-03
Волан -де-Морт;L4-1-03-01
Геллерт Грин -де-Вальд;L4-1-03-02
Беллатриса Лестрейндж;L4-1-03-03
Люциус Малфой;L4-1-03-04
Нарцисса Малфой;L4-1-03-05
Антонин Долохов;L4-1-03-06
Фенрир Сивый;L4-1-03-07
Уолден Макнейр;L4-1-03-08
Алекто Кэрроу;L4-1-03-09
Амикус Кэрроу;L4-1-03-10
Питер Петтигрю;L4-1-03-11
Барти Крауч младший;L4-1-03-12
Регулус Блэк;L4-1-03-13
Квиринус Квиррелл;L4-1-03-14
Августа Руквуд;L4-1-03-15
Трэверс;L4-1-03-16
Игорь Каркаров;L4-1-03-17
Макнейр;L4-1-03-18
Долохов;L4-1-03-19
Рабастан Лестрейндж;L4-1-03-20
Родольфус Лестрейндж;L4-1-03-21
Мракоборцы;L3-1-04
Римус Люпин;L4-1-04-01
Аластор Грюм;L4-1-04-02
Кингсли Бруствер;L4-1-04-03
Нимфадора Тонкс;L4-1-04-04
Молли Уизли;L4-1-04-05
Артур Уизли;L4-1-04-06
Билл Уизли;L4-1-04-07
Фред Уизли;L4-1-04-08
Джордж Уизли;L4-1-04-09
Флёр Делакур;L4-1-04-10
Эммелина Вэнс;L4-1-04-11
Аберфорт Дамблдор;L4-1-04-12
Хестрия Джонс;L4-1-04-13
Чиновники Министерства;L3-1-05
Корнелиус Фадж;L4-1-05-01
Руфус Скримджер;L4-1-05-02
Пий Толстоватый;L4-1-05-03
Барти Крауч;L4-1-05-04
Долорес Амбридж;L4-1-05-05
Перси Уизли;L4-1-05-06
Амелия Боунс;L4-1-05-07
Артур Уизли;L4-1-05-08
Кингсли Бруствер;L4-1-05-09
Рита Скитер;L4-1-05-10
Призраки;L3-1-06
Почти Безголовый Ник;L4-1-06-01
Кровавый Барон;L4-1-06-02
Серая Дама;L4-1-06-03
Толстый Монах;L4-1-06-04
Пивз;L4-1-06-05
Призраки Азкабана;L4-1-06-06
Плакса Миртл;L4-1-06-07
Капитан Призрачной Гондолы;L4-1-06-08
Старый Ворчливый Герберт;L4-1-06-09
Призрак Кухни;L4-1-06-10
Чёрные Тени Хогвартса;L4-1-06-11
Деятели и ремесленники;L3-1-07
Грэгорович;L4-1-07-01
Гаррик Олливандер;L4-1-07-02
Рита Скитер;L4-1-07-03
Барнабас Каф;L4-1-07-04
Бетти Бракнелл;L4-1-07-05
Флориш и Блотт;L4-1-07-06
Мадам Малкин;L4-1-07-07
Стан Шанпайк;L4-1-07-08
Эрни Пранг;L4-1-07-09
Мундунгус Флетчер;L4-1-07-10
Батильда Бэгшот;L4-1-07-11
Мадам Розмерта;L4-1-07-12
Гоблины и домовые эльфы;L3-1-08
Добби;L4-1-08-01
Кикимер;L4-1-08-02
Хокки;L4-1-08-03
Рагнок;L4-1-08-04
Богрод;L4-1-08-05
Грипхук;L4-1-08-06
Существа;L2-2
Тёмные создания;L3-2-01
Дементоры;L4-2-01-01
Боггарты;L4-2-01-02
Гриндилоу;L4-2-01-03
Гремучая Ива;L4-2-01-04
Василиск;L4-2-01-05
Нагайна;L4-2-01-06
Инферналы;L4-2-01-07
Дикие существа;L3-2-02
Драконы;L4-2-02-01
Акромантулы;L4-2-02-02
Фениксы;L4-2-02-03
Гиппогрифы;L4-2-02-04
Тестралы;L4-2-02-05
Единороги;L4-2-02-06
Разумные существа;L3-2-03
Кентавры;L4-2-03-01
Великаны;L4-2-03-02
Русалки;L4-2-03-03
Сфинкс;L4-2-03-04
Магия и Артефакты;L2-3
Чары;L3-3-01
Люмос;L4-3-01-01
Конфундус;L4-3-01-02
Алохомора;L4-3-01-03
Вингардиум Левиоса;L4-3-01-04
Акцио;L4-3-01-05
Репаро;L4-3-01-06
Сонорус;L4-3-01-07
Магнум Сонорус;L4-3-01-08
Нокс;L4-3-01-09
Силенцио;L4-3-01-10
Проклятия;L3-3-02
Авада Кедавра;L4-3-02-01
Круциатус;L4-3-02-02
Империус;L4-3-02-03
Сектумсемпра;L4-3-02-04
Депримо;L4-3-02-05
Петрификус Тоталус;L4-3-02-06
Обливиэйт;L4-3-02-07
Инкарцерус;L4-3-02-08
Трансфигурации;L3-3-03
Аниматус;L4-3-03-01
Дуро;L4-3-03-02
Авис;L4-3-03-03
Ферраверто;L4-3-03-04
Таранталлегра;L4-3-03-05
Боевые заклинания;L3-3-04
Экспеллиармус;L4-3-04-01
Ступефи;L4-3-04-02
Протего;L4-3-04-03
Редукто;L4-3-04-04
Импедимента;L4-3-04-05
Риктусемпра;L4-3-04-06
Левикорпус;L4-3-04-07
Сомнус;L4-3-04-08
Исцеление и защита;L3-3-05
Ферула;L4-3-05-01
Реннервате;L4-3-05-02
Патронус;L4-3-05-03
Эпискей;L4-3-05-04
Сангуинис;L4-3-05-05
Бытовые заклинания;L3-3-06
Скруберо;L4-3-06-01
Агуаменти;L4-3-06-02
Орхидеус;L4-3-06-03
Пак;L4-3-06-04
Тергео;L4-3-06-05
Артефакты Хогвартса;L3-3-07
Меч Гриффиндора;L4-3-07-01
Философский камень;L4-3-07-02
Шляпа распределения;L4-3-07-03
Карта мародеров;L4-3-07-04
Зеркало Еиналеж;L4-3-07-05
Дары Смерти;L3-3-08
Бузинная палочка;L4-3-08-01
Воскреш. камень;L4-3-08-02
Мантия невидимка;L4-3-08-03
Крестражи;L3-3-09
Дневник Тома Реддла;L4-3-09-01
Кольцо Марволо Гонта;L4-3-09-02
Кубок Пенелопы Пуффендуй;L4-3-09-03
Диадема Кандиды Когтевран;L4-3-09-04
Медальон Салазара Слизерина;L4-3-09-05
Змея Нагайна;L4-3-09-06
Гарри Поттер;L4-3-09-07
Локации;L2-4
Хогвартс и окрестности;L3-4-01
Замок Хогвартс;L4-4-01-01
Выручай комната;L4-4-01-02
Тайная комната;L4-4-01-03
Запретный лес;L4-4-01-04
Озеро Хогвартса;L4-4-01-05
Хоксмид;L4-4-01-06
Хижина Хагрида;L4-4-01-07
Магический Лондон;L3-4-02
Платформа 9?;L4-4-02-01
Косой переулок;L4-4-02-02
Ноктюрн аллея;L4-4-02-03
Гринготтс;L4-4-02-04
Лавка Олливандера;L4-4-02-05
Дома и укрытия;L3-4-03
Нора (дом Уизли);L4-4-03-01
Дом Дурслей;L4-4-03-02
Годрикова Впадина;L4-4-03-03
Поместье Малфоев;L4-4-03-04
Дом Лестрейнджей;L4-4-03-05
Лачуга Гонтов;L4-4-03-06
Дыра в котелке;L4-4-03-07
Дом семьи Блэк;L4-4-03-08
Посторонним запрещено;L3-4-04
Азкабан;L4-4-04-01
Кладбище Литтл Хэнглтон;L4-4-04-02
Пещера с крестражем;L4-4-04-03
Лес в Албании;L4-4-04-04
Хижина Реддлов;L4-4-04-05
Сюжет;L2-6
… и Философский камень;L3-6-01
Приглашение в Хогвартс;L4-6-01-01
Знакомство в Хогвартс экспрессе;L4-6-01-02
Распределение по факультетам;L4-6-01-03
Новый ловец Гриффиндора;L4-6-01-04
Схватка с троллем;L4-6-01-05
Испытания Дамблдора;L4-6-01-06
Схватка с Квирреллом;L4-6-01-07
… и Тайная комната;L3-6-02
Проказы Добби;L4-6-02-01
Первые жертвы Василиска;L4-6-02-02
Общение с дневником Тома Реддла;L4-6-02-03
Раскрытие тайны Арагога;L4-6-02-04
Вход в тайную комнату;L4-6-02-05
Сражение с Василиском;L4-6-02-06
Разоблачение и унижение Люциуса;L4-6-02-07
... и узник Азкабана;L3-6-03
Деметер в Хогвартс экспресс;L4-6-03-01
Инцидент с Гиппогрифом;L4-6-03-02
Нападение деметера на квиддиче;L4-6-03-03
Обучение Патронусу;L4-6-03-04
Казнь Гиппогрифа;L4-6-03-05
Предсказание Трелони;L4-6-03-06
Разоблачение в Логове Гремучей Ивы;L4-6-03-07
Вперед в прошлое;L4-6-03-08
... и Кубок огня;L3-6-04
Срыв ЧМ по квиддичу;L4-6-04-01
Жеребьевка турнира;L4-6-04-02
Испытание драконом;L4-6-04-03
Испытание в Черном озере;L4-6-04-04
Святочный бал;L4-6-04-05
Испытание лабиринтом;L4-6-04-06
Возрождение Темного лорда;L4-6-04-07
... и Орден Феникса;L3-6-05
Нападение деметера на Дадли;L4-6-05-01
Суд за применение магии;L4-6-05-02
Инспекция Хогвартса ;L4-6-05-03
Правление Амбридж;L4-6-05-04
Создание Отряда Дамблдора;L4-6-05-05
Ловушка в Отделе тайн;L4-6-05-06
... и Принц полукровка ;L3-6-06
Вербовка Горация;L4-6-06-01
Нерушимый обет Малфоя;L4-6-06-02
Томе Реддл в омуте памяти;L4-6-06-03
Учебник Принца полукровки;L4-6-06-04
Любовный треугольник;L4-6-06-05
Воспоминания Горация;L4-6-06-06
Экспедиция за медальоном крестражем;L4-6-06-07
Жертва Дамблдора;L4-6-06-08
… и Дары смерти 1;L3-6-07
Заметание следов;L4-6-07-01
Свадьба Билла и Флер;L4-6-07-02
Хищение медальона Слизерина;L4-6-07-03
Уничтожение медальона Слизерина;L4-6-07-04
Ловушка в Доме Лавгуд;L4-6-07-05
Жертва Добби;L4-6-07-06
… и Дары смерти 2;L3-6-08
Ограбление Гринготтса;L4-6-08-01
Битва за Хогвартс;L4-6-08-02
Уничтожение крестражей;L4-6-08-03
Ноша Северуса Снепа;L4-6-08-04
Жертвоприношение;L4-6-08-05
Битва Гарри и Темного лорда;L4-6-08-06
Магическое общество;L2-5
Школы и Факультеты;L3-5-01
Хогвартс;L4-5-01-01
Дурмстранг;L4-5-01-02
Шармбатон;L4-5-01-03
Ильверморни;L4-5-01-04
Магото;L4-5-01-05
Кастелобрушу;L4-5-01-06
Уагаду;L4-5-01-07
Министерство Магии;L3-5-02
Отдел магич. правопорядка;L4-5-02-01
Отдел тайн;L4-5-02-02
Отдел магич. происшествий и катастроф;L4-5-02-03
Отдел межд. магич. сотрудничества;L4-5-02-04
Отдел регулир. магич. существ;L4-5-02-05
Сословия;L3-5-03
Чистокровные семьи;L4-5-03-01
Полукровки;L4-5-03-02
Магглорожденные;L4-5-03-03
Сквибы;L4-5-03-04
